Location,Premium,Brand_Model,Bluk_Price_DP,Year,Bluk_2,Url
"location_on
Giza
, Agouza",,كيا كارينز 2014 الفئه الثانيه,"كيا كارينز 2014 الفئه الثانيه

1.6 A/T EX

685,000EGP",2014,"Kia
Carens
2014
Used
155,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-carens/13f03df7a24e42f39872031896feb711?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",,Kia Rio First Owner Clean Condition Khaleegy,"Kia Rio First Owner Clean Condition Khaleegy
580,000EGP",2014,"Kia
Rio
2014
Used
200,000
km
Automatic
Imported Specs",https://www.contactcars.com/en/used-cars/kia-rio/823613b896594456ac7d6238f47b2791?status=Used
"location_on
Cairo
, Nasr City",,كيا سبورتاج بحاله ممتازه,"كيا سبورتاج بحاله ممتازه

1.6 A/T H/L

1,320,000EGP",2019,"Kia
Sportage
2019
Used
96,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/160a8ab5671045f8959478a18b140e60?status=Used
"location_on
Giza
, Sheikh Zayed",,كيا سيراتو للبيع,"كيا سيراتو للبيع
750,000EGP",2015,"Kia
Cerato
2015
Used
186,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-cerato/d1f9e4e396084b25bdb66ec28b509947?status=Used
"location_on
Cairo
, El Sherouk City",,كارينز 2014 بحاله جيده جدا بسعر ممتاز,"كارينز 2014 بحاله جيده جدا بسعر ممتاز

1.6 A/T H/L

700,000EGP",2014,"Kia
Carens
2014
Used
224,500
km
Automatic",https://www.contactcars.com/en/used-cars/kia-carens/2e762dc799bf40b2890c1cd927abd09a?status=Used
"location_on
Dakahlia
, Sherbin",,للبيع كيا سبورتاج 2023 زيرو,"للبيع كيا سبورتاج 2023 زيرو
2,000,000EGP
Min. DP:400,000EGP",2023,"Kia
Sportage
2023
New
Automatic
Imported Specs
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-sportage/for-sale/8b41bc72f2434de79358427a31379115?status=New
"location_on
Monufia
, Ashmon",,سيراتو 2017,"سيراتو 2017
730,000EGP",2017,"Kia
Cerato
2017
Used
73,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/692ac874e3364e6b9024b4fe7ff06220?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",,كيا سبورتاج 2021 فبريكة بالكامل,"كيا سبورتاج 2021 فبريكة بالكامل

1.6 A/T LX F/O Plus

1,395,000EGP
Min. DP:279,000EGP",2021,"Kia
Sportage
2021
Used
34,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/c311e1c152ad4c7991f15969ef696115?status=Used
"location_on
Kafr El Sheikh
, Baltim and Burullus",,كارنز بحاله ممتازه جدا جدا,"كارنز بحاله ممتازه جدا جدا

1.6 A/T T/L

850,000EGP",2016,"Kia
Carens
2016
Used
138,000
km
Automatic
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-carens/885cef654db54ed889d37bfa51a13c3d?status=Used
"location_on
Port Said
, Port Said",,كيا سيراتو 2014 فئه ثانيه,"كيا سيراتو 2014 فئه ثانيه
670,000EGP",2014,"Kia
Cerato
2014
Used
120,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/06f41c16e2a04770a5dfb0c805483918?status=Used
"location_on
Giza
, Sheikh Zayed",,kia Rio 2017,"kia Rio 2017

1.4 A/T LX FL

560,000EGP",2017,"Kia
Rio
2017
Used
146,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-rio/6ae20e2a4ea74839ae96a0a86a4af2f7?status=Used
"location_on
Giza
, El Haram",,كيا سبورتاج ٢٠١٧ خليكى توب لاين فابريكا رخصة ٣ سنوات من المالك,"كيا سبورتاج ٢٠١٧ خليكى توب لاين فابريكا رخصة ٣ سنوات من المالك

1.6 A/T GT 4WD

1,600,000EGP",2017,"Kia
Sportage
2017
Used
32,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/e8427cb6aa744b0295ed4611e78a67ee?status=Used
"location_on
Alexandria
, Mandara",,للبيع كيا سيراتو,"للبيع كيا سيراتو
780,000EGP",2018,"Kia
Cerato
2018
Used
128,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/d110261226594415b7496ba7572ded4d?status=Used
"location_on
Damietta
, Damietta",,دمياط,"دمياط

1.5 A/T T/L

1,700,000EGP
Min. DP:340,000EGP",2022,"Kia
Xceed
2022
Used
3,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-xceed/fdece94bb590472cb2eb1a192ce61a9c?status=Used
"location_on
Dakahlia
, Sherbin",,للبيع كيا سبورتاج 2023 زيرو,"للبيع كيا سبورتاج 2023 زيرو
2,000,000EGP
Min. DP:400,000EGP",2023,"Kia
Sportage
2023
New
Automatic
Imported Specs
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-sportage/for-sale/8b41bc72f2434de79358427a31379115?status=New
"location_on
Cairo
, Nasr City",Premium,كيا سيراتو Fully loadded,"كيا سيراتو Fully loadded
750,000EGP",2015,"Kia
Cerato
2015
Used
180,000
km
Automatic
for Exchange",https://www.contactcars.com/en/used-cars/kia-cerato/df3d1f429e454776908820f48f9e6b9f?status=Used?dealer=1519525
"location_on
Cairo
, Nasr City",Premium,Kia sportage GT 2023,"Kia sportage GT 2023
Down Payment462,500EGP",2023,"Kia
Sportage
2023
New
Automatic",https://www.contactcars.com/en/new-cars/kia-sportage/for-sale/7fb24e0d652648a08760997ae959046e?status=New?dealer=1519511
"location_on
Monufia
, Ashmon",,سيراتو 2017,"سيراتو 2017
730,000EGP",2017,"Kia
Cerato
2017
Used
73,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/692ac874e3364e6b9024b4fe7ff06220?status=Used
"location_on
Giza
, Giza",Premium,اسبورتاج خليجي اعلى فئه مواصفات البلاك اديشن وارد الخارج,"اسبورتاج خليجي اعلى فئه مواصفات البلاك اديشن وارد الخارج
1,400,000EGP",2017,"Kia
Sportage
2017
Used
8,000
km
Automatic
Imported Specs
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/9c10ba1de1a44551bbed64bb842918ed?status=Used
"location_on
Giza
, 6th of October",Premium,كيا سبورتاج,"كيا سبورتاج
2,150,000EGP
Min. DP:430,000EGP",2023,"Kia
Sportage
2023
Used
14,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/57f13c38f9f34e9a928554e825b59ab8?status=Used
"location_on
Cairo
, Zahraa Maadi",Premium,جراند سيراتو خليجي,"جراند سيراتو خليجي

1.6 A/T H/L

1,270,000EGP
Min. DP:254,000EGP",2023,"Kia
Grand Cerato
2023
New
Automatic
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/df4d5d577c5c4000959ffcd2a4a28e32?status=New
"location_on
Cairo
, New Cairo & 5th Settlement",,كيا سبورتاج 2021 فبريكة بالكامل,"كيا سبورتاج 2021 فبريكة بالكامل

1.6 A/T LX F/O Plus

1,395,000EGP
Min. DP:279,000EGP",2021,"Kia
Sportage
2021
Used
34,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/c311e1c152ad4c7991f15969ef696115?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا سبورتاج ٢٠١٤ للبيع,"كيا سبورتاج ٢٠١٤ للبيع
945,000EGP",2014,"Kia
Sportage
2014
Used
98,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/9aa766070e33471cbf5f3c83443e5504?status=Used
"location_on
Cairo
, Nasr City",Premium,كيا جراند سيراتو 2022,"كيا جراند سيراتو 2022

1.6 A/T LX

Down Payment336,000EGP",2022,"Kia
Grand Cerato
2022
Used
25,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-grand_cerato/d760ef10ba1d470eb36fa38e5cf06225?status=Used?dealer=1519293
"location_on
Kafr El Sheikh
, Baltim and Burullus",,كارنز بحاله ممتازه جدا جدا,"كارنز بحاله ممتازه جدا جدا

1.6 A/T T/L

850,000EGP",2016,"Kia
Carens
2016
Used
138,000
km
Automatic
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-carens/885cef654db54ed889d37bfa51a13c3d?status=Used
"location_on
Port Said
, Port Said",,كيا سيراتو 2014 فئه ثانيه,"كيا سيراتو 2014 فئه ثانيه
670,000EGP",2014,"Kia
Cerato
2014
Used
120,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/06f41c16e2a04770a5dfb0c805483918?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,سبورتاج 2014 فابريكا بالكامل,"سبورتاج 2014 فابريكا بالكامل
935,000EGP",2014,"Kia
Sportage
2014
Used
95,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/4256df6c1ff34ee9b6dc1644cf1ebb0d?status=Used
"location_on
Giza
, Sheikh Zayed",,kia Rio 2017,"kia Rio 2017

1.4 A/T LX FL

560,000EGP",2017,"Kia
Rio
2017
Used
146,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-rio/6ae20e2a4ea74839ae96a0a86a4af2f7?status=Used
"location_on
Giza
, El Haram",,كيا سبورتاج ٢٠١٧ خليكى توب لاين فابريكا رخصة ٣ سنوات من المالك,"كيا سبورتاج ٢٠١٧ خليكى توب لاين فابريكا رخصة ٣ سنوات من المالك

1.6 A/T GT 4WD

1,600,000EGP",2017,"Kia
Sportage
2017
Used
32,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/e8427cb6aa744b0295ed4611e78a67ee?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,كيا كارينز 2023 - KIA CARENS خليجية-استيراد ( حر - جواب ),"كيا كارينز 2023 - KIA CARENS خليجية-استيراد ( حر - جواب )
1,090,000EGP",2023,"Kia
Carens
2023
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-carens/for-sale/a9d6a73bfee2481cae38e67997c68b24?status=New?dealer=1519530
"location_on
Alexandria
, Mandara",,للبيع كيا سيراتو,"للبيع كيا سيراتو
780,000EGP",2018,"Kia
Cerato
2018
Used
128,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/d110261226594415b7496ba7572ded4d?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا سبورتاج هاي لاين وكيل للبيع,"كيا سبورتاج هاي لاين وكيل للبيع

1.6 A/T HL

2,050,000EGP
Min. DP:410,000EGP",2023,"Kia
Sportage NQ5
2023
Used
10,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage_nq5/4a6876761b9b4565b9b2e4bc5dc146d6?status=Used
"location_on
Damietta
, Damietta",,دمياط,"دمياط

1.5 A/T T/L

1,700,000EGP
Min. DP:340,000EGP",2022,"Kia
Xceed
2022
Used
3,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-xceed/fdece94bb590472cb2eb1a192ce61a9c?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",,كيا سيراتو K3 2016,"كيا سيراتو K3 2016
810,000EGP",2016,"Kia
Cerato
2016
Used
147,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/165226fb28dc4488ae7327d44ea04a70?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",,سبورتاج ٢٠١٦ وكيل فبريكا بره و جوه الفئة التانيه عداد ١١٠٠٠٠ ك,"سبورتاج ٢٠١٦ وكيل فبريكا بره و جوه الفئة التانيه عداد ١١٠٠٠٠ ك
1,175,000EGP",2016,"Kia
Sportage
2016
Used
110,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/32e5fd0151bb4143b6f29745f3f67516?status=Used
"location_on
Suez
, Arbaeen District",,كيا k3 2015 فبريكا البيع لدواعي السفر,"كيا k3 2015 فبريكا البيع لدواعي السفر
650,000EGP",2015,"Kia
Cerato
2015
Used
100
km
Automatic
Imported Specs
almost new
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/0d487c17a17a4be7a2e8639bbf4fdc9a?status=Used
"location_on
Qalyubia
, Shubra Al Khaimah",Premium,ش الشعراوي القديم بهتيم,"ش الشعراوي القديم بهتيم

1.6 A/T GT 4WD

1,000,000EGP",2017,"Kia
Sportage
2017
Used
105,000
km
Automatic
for Exchange",https://www.contactcars.com/en/used-cars/kia-sportage/63a4d892fee5439481ddb7af18dc86b5?status=Used
"location_on
Cairo
, Road El Farag",Premium,كيا جراند سيراتو فابريكا بالكامل ثانى فئه فابريكه ,"كيا جراند سيراتو فابريكا بالكامل ثانى فئه فابريكه 
915,000EGP",2019,"Kia
Cerato
2019
Used
91,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/bf97d52c9f20414ca4a04d2bcaa9f9f5?status=Used
"location_on
Giza
, Doki",,الدقي,"الدقي

1.6 A/T H/L

950,000EGP",2019,"Kia
Grand Cerato
2019
Used
105,000
km
Automatic
almost new",https://www.contactcars.com/en/used-cars/kia-grand_cerato/cdc18023fd1f4bad96e6ac772b281262?status=Used
"location_on
Cairo
, Heliopolis",Premium,مصر الجديدة,"مصر الجديدة
1,550,000EGP",2022,"Kia
Sportage
2022
Used
35,202
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/dacd849cebbf484a99ef7da1c22c9626?status=Used
"location_on
Giza
, El Haram",Premium,كيا اكسيد توب لاين,"كيا اكسيد توب لاين

1.5 A/T T/L

1,350,000EGP
Min. DP:270,000EGP",2022,"Kia
Xceed
2022
Used
25,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-xceed/ab4d643bf7da4ac087d8e250dce35183?status=Used?dealer=1519502
"location_on
Damietta
, Ezbt El Borg",,بيكانتو 2015,"بيكانتو 2015
550,000EGP",2015,"Kia
Picanto
2015
Used
64,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-picanto/074b2e0e04264ab58e5f400c861f6d77?status=Used
"location_on
Cairo
, Nasr City",Premium,KIA SPORTAGE GTLINE 2023,"KIA SPORTAGE GTLINE 2023
Down Payment1,100,000EGP",2023,"Kia
Sportage
2023
Used
11,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/d10db06af8144027a951171d072d1102?status=Used?dealer=1519536
